"focalid","role","dyadid","outcome","focalcode","partcode","obs"
59,1,593,1.83333333333333,0,1,5931
59,2,593,1.5,1,0,5932
60,1,601,1.33333333333333,0,1,6011
60,2,601,1.16666666666667,1,0,6012
60,1,602,1.66666666666667,0,1,6021
60,2,602,1,1,0,6022
60,1,603,1.33333333333333,0,1,6031
60,2,603,1.66666666666667,1,0,6032
61,1,611,2.33333333333333,0,1,6111
61,2,611,2.16666666666667,1,0,6112
61,1,612,2.83333333333333,0,1,6121
61,2,612,1.16666666666667,1,0,6122
61,1,613,4.66666666666667,0,1,6131
61,2,613,3,1,0,6132
62,1,621,1,0,1,6211
62,2,621,1.66666666666667,1,0,6212
62,1,622,1,0,1,6221
62,2,622,1.16666666666667,1,0,6222
62,1,623,2.16666666666667,0,1,6231
62,2,623,1.16666666666667,1,0,6232
64,1,641,2,0,1,6411
64,2,641,2.33333333333333,1,0,6412
64,1,642,2.83333333333333,0,1,6421
64,2,642,2,1,0,6422
64,1,643,2.16666666666667,0,1,6431
64,2,643,1,1,0,6432
65,1,651,1.5,0,1,6511
65,2,651,2.66666666666667,1,0,6512
65,1,652,1.16666666666667,0,1,6521
65,2,652,1,1,0,6522
65,1,653,2.16666666666667,0,1,6531
65,2,653,1.66666666666667,1,0,6532
66,1,661,1.33333333333333,0,1,6611
66,2,661,1,1,0,6612
66,1,662,3.33333333333333,0,1,6621
66,2,662,1.83333333333333,1,0,6622
66,1,663,1.33333333333333,0,1,6631
66,2,663,1.33333333333333,1,0,6632
67,1,671,2.16666666666667,0,1,6711
67,2,671,3,1,0,6712
67,1,672,2,0,1,6721
67,2,672,1.16666666666667,1,0,6722
67,1,673,2,0,1,6731
67,2,673,1.5,1,0,6732
69,1,691,1,0,1,6911
69,2,691,1.66666666666667,1,0,6912
69,1,692,2,0,1,6921
69,2,692,1.83333333333333,1,0,6922
69,1,693,1,0,1,6931
69,2,693,3.5,1,0,6932
71,1,711,2.16666666666667,0,1,7111
71,2,711,1,1,0,7112
71,1,712,1.33333333333333,0,1,7121
71,2,712,2.16666666666667,1,0,7122
71,1,713,1.5,0,1,7131
71,2,713,1,1,0,7132
75,1,751,1.5,0,1,7511
75,2,751,1.16666666666667,1,0,7512
75,1,752,1,0,1,7521
75,2,752,1,1,0,7522
75,1,753,1.33333333333333,0,1,7531
75,2,753,3.83333333333333,1,0,7532
79,1,791,2.5,0,1,7911
79,2,791,2.5,1,0,7912
79,1,792,1.66666666666667,0,1,7921
79,2,792,1.5,1,0,7922
79,1,793,1,0,1,7931
79,2,793,1.66666666666667,1,0,7932
80,1,801,1,0,1,8011
80,2,801,1,1,0,8012
80,1,802,1,0,1,8021
80,2,802,1,1,0,8022
80,1,803,1,0,1,8031
80,2,803,1,1,0,8032
82,1,821,4.5,0,1,8211
82,2,821,1,1,0,8212
82,1,822,3.5,0,1,8221
82,2,822,1,1,0,8222
82,1,823,3.66666666666667,0,1,8231
82,2,823,3,1,0,8232
85,1,851,3,0,1,8511
85,2,851,4.66666666666667,1,0,8512
85,1,852,2.5,0,1,8521
85,2,852,1.16666666666667,1,0,8522
85,1,853,2.5,0,1,8531
85,2,853,1,1,0,8532
86,1,861,1,0,1,8611
86,2,861,1.16666666666667,1,0,8612
86,1,862,1.5,0,1,8621
86,2,862,2,1,0,8622
86,1,863,1,0,1,8631
86,2,863,2.16666666666667,1,0,8632
89,1,891,3,0,1,8911
89,2,891,1.33333333333333,1,0,8912
89,1,892,1.33333333333333,0,1,8921
89,2,892,2,1,0,8922
89,1,893,2.66666666666667,0,1,8931
89,2,893,2.33333333333333,1,0,8932
91,1,911,1,0,1,9111
91,2,911,1.16666666666667,1,0,9112
91,1,912,1.83333333333333,0,1,9121
91,2,912,3.5,1,0,9122
91,1,913,2.33333333333333,0,1,9131
91,2,913,2,1,0,9132
93,1,931,2,0,1,9311
93,2,931,1.33333333333333,1,0,9312
93,1,932,2,0,1,9321
93,2,932,1.16666666666667,1,0,9322
93,1,933,1.66666666666667,0,1,9331
93,2,933,3.16666666666667,1,0,9332
94,1,941,1,0,1,9411
94,2,941,2.16666666666667,1,0,9412
94,1,942,1.5,0,1,9421
94,2,942,1.16666666666667,1,0,9422
94,1,943,1.33333333333333,0,1,9431
94,2,943,3.5,1,0,9432
96,1,961,4,0,1,9611
96,2,961,2.16666666666667,1,0,9612
96,1,962,1.16666666666667,0,1,9621
96,2,962,1.5,1,0,9622
96,1,963,2,0,1,9631
96,2,963,2.33333333333333,1,0,9632
99,1,991,1,0,1,9911
99,2,991,1,1,0,9912
99,1,992,1.16666666666667,0,1,9921
99,2,992,1,1,0,9922
99,1,993,1.83333333333333,0,1,9931
99,2,993,1.66666666666667,1,0,9932
100,1,1001,1.16666666666667,0,1,10011
100,2,1001,1,1,0,10012
100,1,1002,3.5,0,1,10021
100,2,1002,2,1,0,10022
100,1,1003,2.16666666666667,0,1,10031
100,2,1003,1,1,0,10032
102,1,1021,2.33333333333333,0,1,10211
102,2,1021,1.5,1,0,10212
102,1,1022,1.5,0,1,10221
102,2,1022,1,1,0,10222
102,1,1023,2,0,1,10231
102,2,1023,1.16666666666667,1,0,10232
105,1,1051,1,0,1,10511
105,2,1051,2,1,0,10512
105,1,1052,1,0,1,10521
